data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;;;;;;;;;;;;;;;;;;
4 de janeiro de 2025;Muito agradável em termos gerais;Funcionários muitos atenciosos;Cortinas não permitem que fiquemos a dormir um pouco mias deixa entrar o sol.;10;;;;;;;;;;;;;;;;;;;;;;;;;
3 de abril de 2025;Muito bom;Localização ótima, todavia por ser um hotel antigo, não tinha ducha higiênica e estava entrando mau cheiro pelo ralo. Café bom;;8;;;;;;;;;;;;;;;;;;;;;;;;;
3 de abril de 2025;Bom;O espaço do quarto é ótimo e a localização é excelente;Café da manhã ruim, poucas opções e comidas frias. Achei a cama muito mole, mas há quem goste.;7;;;;;;;;;;;;;;;;;;;;;;;;;
2 de abril de 2025;Muito bom;Não gostei da academia.;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Gostei dos funcionários.""";;8;;;;;;;;;;;;;;;;;;;;;;;;;;;
2 de abril de 2025;Tendo oportunidade voltarei com certeza;Localização, atendimento das pessoas excelente e quartos amplos;;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2025;Muito bom;Localização muito boa. Perto da praia, restaurantes e bares.;;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2025;Hotel atende nos requisitos principais: Boa localização;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A decepção foi que a Recepção não tem acesso as câmaras e só recebeu a reclamação para repassar a Gerência do Hotel que chegaria somente no outro dia; pela manhã. No dia 26mar( quarta-feira) pela manhã; já fazendo o check out; a Recepção ainda não tinha resposta sobre nossa mala; nem o Gerente tinha chegado ao Hotel para verificar as câmaras; etc; etc...Enfim; até agora; ainda não recebemos do Hotel;" qualquer situação sobre a recuperação da nossa mala.""";7;;;;;;;;;;;;;;;;;;;
20 de setembro de 2024;Decepcionante!;;Ao chegar no hotel ficamos surpreendidos com o aspecto de velho e abandonado que o hotel se encontra, totalmente diferente das fotos presentes no booking. Os carpetes velhos e sujos, a própria aparência e conforto do sofá da recepção. Para começar, os atendentes do hotel não são simpáticos e nem solicitos. Ao andar pelo elevador e corredor do hotel, da mesma forma: impressão a todo momento de hotel abandonado. ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ao chegar no quarto; mais uma decepção: cortinas e saias da cama sujos; com as aspecto de mofado; esse era; inclusive o cheio do quarto: cheiro de mofo! Ao solicitar na recepção mantas para se cobrir; mais uma surpresa: as mantas estavam riscadas com números em caneta piloto; situação que não passou qualquer conforto e sentimento de aconchego! ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E por fim; além do café da manhã não ter uma variedade considerável e nem comidas gostosas;" os PRATOS E XÍCARAS ESTAVAM SUJOS!""";4;;;;;;;;;;;;;;;;;;;;;;;;;;
20 de setembro de 2024;Péssima;;Quarto muito Sujo, Cortinas Sujas, Chão que grudava os pés, cama ruim, travesseiro ruim, Agua Chuveiro Fria, Lençóis e toalhas de péssima qualidade, Elevador Sujo, Não tive coragem de tomar café da manhã no hotel.;1;;;;;;;;;;;;;;;;;;;;;;;;;
19 de setembro de 2024;Custo benefício ruim.;Nada, única coisa boa que esse hotel tem é a localização.;E até difícil listar, já fiquei nessa rede em outros estados do Brasil. Sempre um café da manhã muito pobre, nem falo de variedade e sim de qualidade ( que ofereça pão e ovo, mas ofereça algo de qualidade). Funcionários sem preparação para trabalhar com público, atendimento hostil. Falta de manutenção predial, banheiro do quarto fedia esgoto e não adianta reclamar. Enfim não vale o custo benefício.;1;;;;;;;;;;;;;;;;;;;;;;;;;
18 de setembro de 2024;Boa localização e confortável o quarto.;Cafe da manhã é ok. Mas a localização é boa e o quarto é confortável e espaçoso.;nada.;10;;;;;;;;;;;;;;;;;;;;;;;;;
17 de setembro de 2024;Excepcional;Hotel e tudo de bom!;;10;;;;;;;;;;;;;;;;;;;;;;;;;
16 de setembro de 2024;Aceitável;Localização e quarto com bom tamanho.;Café da manhã, box do banheiro parecia una piscina quando abre o chuveiro. O meu veículo apareceu com um amassão na porta traseira e o hotel não tem câmeras na garagem para pelo menos provar que não foi lá no hotel. Só filmam o veículo no check-in.;5;;;;;;;;;;;;;;;;;;;;;;;;;
16 de setembro de 2024;Desconfortável;Da localização que é muito boa.;Praticamente de tudo, achei o hotel um pouco antiquado, como se tivessem muitas coisas velhas que poderiam pelo menos ser trocadas.;5;;;;;;;;;;;;;;;;;;;;;;;;;
16 de setembro de 2024;A pior estadia de todas;Nada;No primeiro dia não havia toalhas no quarto, depois de muito pedir e não ser atendido, tive que descer na recepção e consegui uma única toalha, fiquei sabendo depois que outros hóspedes ficaram sem toalhas.;;;;;;;;;;;;;;;;;;;;;;;;;;
O chuveiro não aqueceu; tive que tomar banho frio todos os dias; mesmo reclamando a única informação que eu precisava deixar o chuveiro aberto por 20 minutos para a água aquecer; um verdadeiro absurdo; na minha opinião esse hotel precisa ser interditado; pois é muito desperdício de água devido uma clara deficiência da infraestrutura do hotel.;;;;;;;;;;;;;;;;;;;;;;;;
Os lençóis e fronha com manchas; pedi coberta pois estava frio no dia que estava no local; mas não fui atendido; tive que dormir apenas com um lençol.;;;;;;;;;;;;;;;;;;;;;;;;;;
Fizeram a limpeza do meu quarto e deixaram um pano de chão imundo e todo molhado em cima da mesa da televisão.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A minha estadia neste hotel foi um verdadeiro show de horror;" não voltou nunca mais.""";1;;;;;;;;;;;;;;;;;;;;;;;;;;;
16 de setembro de 2024;Aceitável;Localização.;Quartos antigos precisando de reforma, colchão desconfortável, ar condicionado barulhento, box do banheiro com cortina de plástico.;5;;;;;;;;;;;;;;;;;;;;;;;;;
15 de setembro de 2024;Ótimo;Bom atendimento, quarto limpo e organizado, chuveiro a gás, frigobar no quarto e café da manhã incluso. E se você for de carro, tem o manobrista que deixa o carro no estacionamento e o preço para estacionar não é abusivo!;;10;;;;;;;;;;;;;;;;;;;;;;;;;
15 de setembro de 2024;Situação crítica de atendimento;Localização;Falta de toalha banho e no hotel não tinha mais.;;;;;;;;;;;;;;;;;;;;;;;;;;
Chuveiro frio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Falta coberta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ninguém atende o telefone;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Aguardando nota fiscal a dias""";3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15 de setembro de 2024;Experiência pavorosa;Localização próximo à praia;Camas horríveis, super desconfortáveis.;;;;;;;;;;;;;;;;;;;;;;;;;;
Roupa de cama de péssima qualidade; lençóis velhos e ralos.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Telefone não funciona.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Não tinha cobertor; tive que ir lá embaixo pedir e me entregam um saco com um cobertor que ao abrir estava úmido.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Banheiro sujo; a área do box estava molhada; parecia que alguém tinha acabado de tomar banho.;;;;;;;;;;;;;;;;;;;;;;;;;;;
A borracha do box tinha vários pontos brancos; parecia mofo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Não tinha nem xampu.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cortinas com manchas de mofo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enfim;" foi a pior estadia dos últimos tempos.""";1;;;;;;;;;;;;;;;;;;;;;;;;;;;
14 de setembro de 2024;Arrumadinho ainda fica melhor.;Gostei do atendimento. Quarto amplo excelente.;Não tenho algo a relatar mas o restaurante aberto para almoço ficaria legal.;10;;;;;;;;;;;;;;;;;;;;;;;;;
14 de setembro de 2024;Terapia espiritual;Café da manhã bem completo e uma localização ótima, perto da praia, e com um mercado Carrefour na frente;Taxa de antecedência bem caro;10;;;;;;;;;;;;;;;;;;;;;;;;;
14 de setembro de 2024;Aceitável;A localização é perfeita, perto de comércios e do aeroporto e o café da manhã sem variedades mas muito gostoso e limpo.;O hotel é bem antigo, o banheiro estranho o azulejo velho, e o chuveiro muito forte e ducha curta. A academia inultilizavel, equipamentos velhos e enferrujados por isso sempre vazia, e a piscina extremamente simples, apenas para dizer que tem no hotel;5;;;;;;;;;;;;;;;;;;;;;;;;;
14 de setembro de 2024;Top pela localização, higiene e café da manhã;Limpeza - ambiente;;10;;;;;;;;;;;;;;;;;;;;;;;;;
13 de setembro de 2024;Otimo custo x beneficio;O Hotel fica proximo a tudo, bancos, farmacias, restaurantes, supermercados, e bem proximo a praia de boa viagem.;O colchao poderia ser de melhor qualidade.;9;;;;;;;;;;;;;;;;;;;;;;;;;
13 de setembro de 2024;Ótimo custo benefício em Recife;Hotel bem localizado, prático, limpo e que atende muito bem.;Nada;9;;;;;;;;;;;;;;;;;;;;;;;;;
12 de setembro de 2024;Perfeita;Tudo;;10;;;;;;;;;;;;;;;;;;;;;;;;;
12 de setembro de 2024;Fantástico;Quarto amplo, limpo, cheiroso, cama confortável, café da manhã excelente. Ótimo custo benefício. De toda Rede Andrade este foi o melhor até agora, o Rede Andrade Onda Mar e o Rede Andrade Recife não são bons, esse é show.;Uma das luzes não tinha interruptor para desligar. Tive que desrrosquear.;9;;;;;;;;;;;;;;;;;;;;;;;;;
11 de setembro de 2024;Passei a noite em claro.;Nada.;O pior de tudo são as condensadoras das centrais de ar q ficam na janela do quarto, fazendo um barulho INSUPORTÁVEL. Fora isso, roupa de cama e toalhas encardidas, colchão de molas sofrível, travesseiros, nem vou comentar...café da manhã sem ovos cozidos...nada a reclamar da equipe.;1;;;;;;;;;;;;;;;;;;;;;;;;;
11 de setembro de 2024;Decepção!;Nada! Além de negarem a minha reserva, ainda debitaram no cartão.;Estou aguardando o estorno que até agora não foi feito.;1;;;;;;;;;;;;;;;;;;;;;;;;;
11 de setembro de 2024;Hotel confortável e bem localizado;Localização perfeita e quartos muito confortáveis;Banheiro poderia ter janela ou exaustor;9;;;;;;;;;;;;;;;;;;;;;;;;;
11 de setembro de 2024;Lugar sujo e Velho;Não gostei de absolutamente nada! Foi o lugar mais sujo que já me hospedei na vida. Fiz checkout mais cedo pq não aguentei ficar no meio de tanta sujeira;Colchão velho é sujo, cama rasgando. Travesseiro com mil ácaros, banheiro soltando azulejos. Não tem água quente. Chão imundo de sujo. Janelas e cortinas com gordura e sujeira acumulada. Até o carpete do elevador estava se desfazendo;1;;;;;;;;;;;;;;;;;;;;;;;;;
11 de setembro de 2024;A estadia foi muito boa!;A localização é ótima!;;10;;;;;;;;;;;;;;;;;;;;;;;;;
10 de setembro de 2024;Não vale o custo benefício mesmo pra ficar uma noite;A localização é boa. Quarto espaçoso. Arcondicionado potente;O hotel tem um aspecto de abandono e sujeira. Começa na recepção com sofás com tecido velhos e sujos. Elevador antigo com carpete se deteriorando. Cheiro de mofo nos corredores.;5;;;;;;;;;;;;;;;;;;;;;;;;;
10 de setembro de 2024;Definitivamente vida.;Gostei do espaço do quarto. Da localização próximo a praia.;Não tenho algo específico para citar. Não tive dificuldades. Fiz duas reservas o hotel conta com depósito de bagagem. Seguir para Caruaru e pretendo retornar para uma segunda estadia.;10;;;;;;;;;;;;;;;;;;;;;;;;;
10 de setembro de 2024;Bom, mais poderia ser melhor.;;Acho que poderia ter mais opções no café da manhã: melancia, suco de laranja, um bolo, tapioca com algum recheio, mesmo que seja só de coco, etc.;9;;;;;;;;;;;;;;;;;;;;;;;;;
9 de setembro de 2024;limpeza é o básico;Cama com espaço e confortável.;Ao entrar no apartamento, já tive uma surpresa com o piso todo cheio de marcas, sujo e com uma substância no meio do corredor, como se alguém tivesse ejaculado ali, após ter feito a suposta arrumação no quarto. ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Percebi ao escutar uma troca de palavras entre os funcionários; na hora do café da manhã; que não existe um respeito a governanta ou pessoa que gerencia os funcionários e por isso deduzi que o hotel precisa de uma mudança radical na questão mal de obra;" para que possa melhorar a experiência dos seus hóspedes.""";1;;;;;;;;;;;;;;;;;;;;;;;;;
8 de setembro de 2024;Traumatizada;Apenas 5km do aeroporto;Cancelaram minha reserva sem motivos e passei constrangimento. cheguei de viagem de madrugada e não sabia disso. Foi horrível;1;;;;;;;;;;;;;;;;;;;;;;;;;
7 de setembro de 2024;Não voltarei;Localização;Café da manhã não possui manteiga, para quem não come margarina tem que comer sem nada, passamos 04 dias e não houve nenhuma alteração de comida no café da manhã, o cartão magnético toda a vez que vai usar tem que carregar, os travesseiros antigos, a cama baixa, e os apartamento que fiquei com aspecto de velho.;5;;;;;;;;;;;;;;;;;;;;;;;;;
6 de setembro de 2024;Quase nota 10!;Localização muito boa, pertinho da praia. Tem um café da manhã legal. O quarto que fiquei é espaçoso, com camas grandes e confortáveis. O banheiro também, bem espaçoso. Check in e check out super simples.;O café da manhã, embora bom, tinha pouca variedade (pôxa, nem um bolo de rolo? rs) e o suco não era natural. O quarto em si, e esta é uma questão de engenharia/arquitetura mesmo, tinha um corredor longo para chegar até a cama mesmo, inclusive uma parte fechada com madeira, que parecia meio suspeita...;9;;;;;;;;;;;;;;;;;;;;;;;;;
5 de setembro de 2024;Fantástico;;Café da manhã achei bem fraco e o colchão era muito mole, acordei quebrada.;9;;;;;;;;;;;;;;;;;;;;;;;;;
5 de setembro de 2024;boa;;o quarto aconchegante e para não fumantes mais tinha cheiro de cigarro.;9;;;;;;;;;;;;;;;;;;;;;;;;;
4 de setembro de 2024;Custo benefício honesto;Café da manhã simples e honesto. Quartos e camas confortáveis.;A hospedagem informou que havia academia. A bicicleta ergométrica estava quebrada. Das 2 esteiras disponíveis , uma estava inoperante e outra com manutenção a desejar. A internet não suportava o uso de aplicativos de vídeo para assistir aulas. Realizei o teste de conexão Wi-Fi e acusou velocidade de 2 megas, o que é pouco para um andar.;5;;;;;;;;;;;;;;;;;;;;;;;;;
4 de setembro de 2024;Excepcional;O atendimento na recepção é ótimo. O quarto é amplo. Limpeza impecável.;;10;;;;;;;;;;;;;;;;;;;;;;;;;
3 de setembro de 2024;Excepcional;Excelente atendimento, café da manhã completo e o quarto maravilhoso. Um hotel pra se sentir em casa;;10;;;;;;;;;;;;;;;;;;;;;;;;;
3 de setembro de 2024;Ótimo hotel bom custo benefício;Ótimas instalações uma boa localização, funcionários super prestativo;Café da manhã muito repetitivo todos os dias eram sempre as mesmas coisas;9;;;;;;;;;;;;;;;;;;;;;;;;;
3 de setembro de 2024;Foi maravilhoso!!!;Muito limpo organizado em todo espaço!!!;;;;;;;;;;;;;;;;;;;;;;;;;;;
Café da manhã perfeito!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Questão da limpeza maravilhoso!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Atendimento excelente!""";Só questão das chaves dos quartos os cartões, precisam melhora um pouco obtive uma dificuldade em uns dos quartos que foi o 711 aonde meus parentes ficaram;9;;;;;;;;;;;;;;;;;;;;;;;;;;;
3 de setembro de 2024;Boa relação custo-benefíco, atendimento excelente.;A hospedagem foi com o objetivo de ir ao aeroporto logo cedo. Dessa forma, não apreciei o café da manhã. O quarto bastante agradável, cama confortável, local bem limpo, banheiro com tudo funcionando em ordem, bom sinal de wi-fi, ótima localização.;Sem comentários.;9;;;;;;;;;;;;;;;;;;;;;;;;;
3 de setembro de 2024;Tudo conforme planejado!;Café da manhã excelente e perto de tudo! Equipe de funcionários muito prestativo.;O tempo passa muito rápido! Kkkk.;10;;;;;;;;;;;;;;;;;;;;;;;;;
2 de setembro de 2024;Ruim;Educação dos funcionários. ;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Localização""";1- o local do primeiro quarto que nos foi disponibilizado. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2- chuveiro ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3- não fornecer talheres da cozinha; apenas descartáveis ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"4- não interfonaram qdo o delivery chegou""";4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2 de setembro de 2024;Aceitável;Café da manhã deixou a desejar, as toalhas de banho são velhas e não tem poder de secar um pós banho.;;;;;;;;;;;;;;;;;;;;;;;;;;;
no quarto; devido aos motores dos ar condicionados; o barulho era extremamente incomodo.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quanto a limpeza;" nada a me queixar.""";café da manhã e toalhas de banho.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"barulho no quarto""";5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1º de setembro de 2024;Ótima localização e custo benefício;Localização muito boa ao lado tem um Carrefour e a orla de boa viagem a poucos metros. Café da manhã com boas opções, reposição rápida dos alimentos, gostei bastante. Cama confortável, banheiro grande e espaçoso.;Gostei de tudo.;10;;;;;;;;;;;;;;;;;;;;;;;;;
1º de setembro de 2024;Excepcional;Top;Ok;10;;;;;;;;;;;;;;;;;;;;;;;;;
1º de setembro de 2024;Ruim;;Café da manhã não tem variedade. Os banheiros entope e vira uma piscina a área de banho.;3;;;;;;;;;;;;;;;;;;;;;;;;;
31 de agosto de 2024;Ruim;Hospedaram a gente no quarto com muito mofo horrível horrível;Jamais voltarei nesse hotel;3;;;;;;;;;;;;;;;;;;;;;;;;;
31 de agosto de 2024;Arrependimento;Localização;Muito barulhento. Banheiro horrível, escuro e barulhento;3;;;;;;;;;;;;;;;;;;;;;;;;;
31 de agosto de 2024;Aceitável;Localização;Instalações antigas. Chuveiro frio. Café da manhã razoável.;;;;;;;;;;;;;;;;;;;;;;;;;;
"Fiquei de segunda a quinta. Só arrumaram meu quarto 1 dia e não trocaram as toalhas.""";5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30 de agosto de 2024;Descaso com cliente;Localização;Esqueci meu celular no quarto, entrei em contato com o hotel quando já estava no aeroporto, a (o) atendente me disse que se o uber que iria buscar dessese e pegasse o telefone na recepção ele entregaria, falei com o uber e ele se prontificou a pegar na recepção, mas quando lá chegou a atendente disse a ele que somente a gerente poderia entregar, e a mesma já não estava lá. Isso foi no dia 28/08. No outro dia 29/08 consegui falar com a gerente Adriana e ela ficou de olhar os valores que o correio cobra para me mandar o telefone até hoje não me falou nada ainda. Infelizmente o descaso com o cliente me fez colocar esse relato aqui.;3;;;;;;;;;;;;;;;;;;;;;;;;;
30 de agosto de 2024;Descaso com Cliente;Localização;Esqueci meu celular no quarto, entrei em contato com o hotel quando já estava no aeroporto, a (o) atendente me disse que se o uber que iria buscar dessese e pegasse o telefone na recepção ele entregaria, falei com o uber e ele se prontificou a pegar na recepção, mas quando lá chegou a atendente disse a ele que somente a gerente poderia entregar, e a mesma já não estava lá. Isso foi no dia 28/08. No outro dia 29/08 consegui falar com a gerente Adriana e ela ficou de olhar os valores que o correio cobra para me mandar o telefone até hoje não me falou nada ainda. Infelizmente o descaso com o cliente me fez colocar esse relato aqui.;3;;;;;;;;;;;;;;;;;;;;;;;;;
30 de agosto de 2024;Não iria novamente!;Localização;Acomodações, limpeza, café da manhã;5;;;;;;;;;;;;;;;;;;;;;;;;;
30 de agosto de 2024;Aceitável;localização e atendimento dos funcionarios;estrutura, nao foi possivel utilização o meet room, café da manha abaixo das expectativas, sempre a mesma coisa. piscina suja, ferro de passar roupa somente na recepção;5;;;;;;;;;;;;;;;;;;;;;;;;;
29 de agosto de 2024;1.RUIM, 2.BOM, 3.ÓTIMO OU 4.EXCELENTE: BOM;Atendimento;A cama afunda quando você deita, então todos os dias eu senti dor nas costas.;5;;;;;;;;;;;;;;;;;;;;;;;;;
29 de agosto de 2024;Aceitável;Boa localização.;Limpeza deixa a desejar. Lençóis e toalhas de banho estavam com marcas. No café da manhã as xícaras estavam sujas.;5;;;;;;;;;;;;;;;;;;;;;;;;;
28 de agosto de 2024;Fantástico;Cama e espaço grande;Troca de toalhas e roupa de cama.;9;;;;;;;;;;;;;;;;;;;;;;;;;
28 de agosto de 2024;Aceitável;Preço .;Uma funcionária da recepção eh muito ruim no atendimento, faz questão de atender mal e dificultar qualquer pedido do cliente , a que falo em questão estava na noite do dia 26/08/24 já a que estava no dia 27 era boa e solicita , o café da manhã deixa muito a desejar , cuscuz e ovos mal feitos , a impressão que dá eh que eles querem para nao comermos mesmo , no dia 27 o café estava simplesmente frio , só depois de 20min os funcionários falaram que a máquina não estava funcionando e que em 10min iriam colocar café na garrafa , porém eu n não poderia esperar mais , a maioria dos hóspedes que conversei vão lá a trabalho então se o café fosse servido a partir das 6 e não das 6:30 , seria muito melhor para os hóspedes com;;;;;;;;;;;;;;;;;;;;;;;;;;
"Certeza .""";5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28 de agosto de 2024;Frustração;As únicas coisas que salvam o hotel são os funcionários e a localização.;"O lugar parece um "" túnel "" do tempo. Tudo desgastado e ultrapassado. Só faltou tv de tubo mas a que tinha só funcionava tv a cabo. Secador de cabelo, só de enfeite. Roupas de cama e banho fininhas de tão velhas. Pelo valor da diária é evidente que nao esperava algo TOP mas ai da assim é inconcebível um hotel tão grande ficar neste estado. Nesta rede de hotéis, nunca mais!";3;;;;;;;;;;;;;;;;;;;;;;;;;
28 de agosto de 2024;Estadia tranquila.;Ótimo café da manhã. Localização boa.;Tudo muito bom.;10;;;;;;;;;;;;;;;;;;;;;;;;;
28 de agosto de 2024;Péssimo hotel. Decadente. Qualidade horrível.;O Hotel possui boa localização e os atendentes são gentis.;"O Hotel está decadente e sem manutenção. Fiquei 05 dias e nenhum dia de banho quente, o chuveiro simplesmente não esquentava. Como estava em um andar alto, fui informada por uma funcionária do hotel que por conta disso (aquecimento à gas) levava meia hora para o chuveiro esquentar (como se fosse normal esperar esse tempo para tomar banho), mesmo assim, deixei o chuveiro ligado por muito tempo e não esquentou. A limpeza do quarto é feita apenas a casa dois dias, assim como a troca de lençol e toalhas. Os lençois são de péssima qualidade, alguns apresentavam rasgos de tão gastos e ""bolinhas"" pela má qualidade do tecido. A cama e os travesseiros são velhos e desconfortáveis. Móveis de madeira que cheiram mofo. Paredes com tintura descascada. O banheiro cheira mal. O secador de cabelo do quarto estava estragado. Solicitei substituição na recepção do hotel e o único disponível e emprestado, também não funcionou. O café da manhã é precário e as mesas do restaurante são muito sujas. A Academia dispõe de alguns aparelhos, porém apenas uma das esteiras estava funcionando, e apenas na velocidade para caminhada.";1;;;;;;;;;;;;;;;;;;;;;;;;;
